Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 205,534,461,0.2774018944519621,
airplane, 1, 39, 35, 0.025, 
bicycle, 21, 24, 30, 0.4666666666666667, 
boat, 11, 37, 27, 0.22916666666666666, 
car, 20, 34, 21, 0.37037037037037035, 
chair, 5, 32, 38, 0.13513513513513514, 
dog, 14, 31, 30, 0.3111111111111111, 
keyboard, 14, 42, 19, 0.25, 
oven, 6, 33, 36, 0.15384615384615385, 
bear, 2, 38, 35, 0.05, 
bird, 6, 32, 37, 0.15789473684210525, 
bottle, 23, 30, 22, 0.4339622641509434, 
cat, 10, 34, 31, 0.22727272727272727, 
clock, 43, 16, 16, 0.7288135593220338, 
elephant, 11, 32, 32, 0.2558139534883721, 
knife, 3, 38, 34, 0.07317073170731707, 
truck, 15, 42, 18, 0.2631578947368421, 
