Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 185,543,472,0.2541208791208791,
airplane, 5, 35, 35, 0.125, 
bicycle, 11, 31, 33, 0.2619047619047619, 
boat, 5, 32, 38, 0.13513513513513514, 
car, 24, 26, 25, 0.48, 
chair, 3, 39, 33, 0.07142857142857142, 
dog, 9, 31, 35, 0.225, 
keyboard, 3, 42, 30, 0.06666666666666667, 
oven, 9, 33, 33, 0.21428571428571427, 
bear, 0, 40, 35, 0.0, 
bird, 5, 39, 31, 0.11363636363636363, 
bottle, 35, 32, 8, 0.5223880597014925, 
cat, 8, 37, 30, 0.17777777777777778, 
clock, 48, 13, 14, 0.7868852459016393, 
elephant, 1, 32, 42, 0.030303030303030304, 
knife, 1, 47, 27, 0.020833333333333332, 
truck, 18, 34, 23, 0.34615384615384615, 
