Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 206,510,484,0.2877094972067039,
airplane, 3, 35, 37, 0.07894736842105263, 
bicycle, 19, 27, 29, 0.41304347826086957, 
boat, 3, 40, 32, 0.06976744186046512, 
car, 19, 30, 26, 0.3877551020408163, 
chair, 9, 31, 35, 0.225, 
dog, 7, 34, 34, 0.17073170731707318, 
keyboard, 12, 33, 30, 0.26666666666666666, 
oven, 9, 29, 37, 0.23684210526315788, 
bear, 4, 35, 36, 0.10256410256410256, 
bird, 4, 43, 28, 0.0851063829787234, 
bottle, 18, 32, 25, 0.36, 
cat, 15, 32, 28, 0.3191489361702128, 
clock, 48, 12, 15, 0.8, 
elephant, 3, 29, 43, 0.09375, 
knife, 5, 39, 31, 0.11363636363636363, 
truck, 28, 29, 18, 0.49122807017543857, 
