Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 204,542,454,0.2734584450402145,
airplane, 3, 42, 30, 0.06666666666666667, 
bicycle, 14, 24, 37, 0.3684210526315789, 
boat, 3, 39, 33, 0.07142857142857142, 
car, 24, 26, 25, 0.48, 
chair, 4, 31, 40, 0.11428571428571428, 
dog, 8, 33, 34, 0.1951219512195122, 
keyboard, 9, 41, 25, 0.18, 
oven, 7, 29, 39, 0.19444444444444445, 
bear, 3, 43, 29, 0.06521739130434782, 
bird, 3, 43, 29, 0.06521739130434782, 
bottle, 42, 25, 8, 0.6268656716417911, 
cat, 9, 36, 30, 0.2, 
clock, 46, 18, 11, 0.71875, 
elephant, 8, 32, 35, 0.2, 
knife, 3, 43, 29, 0.06521739130434782, 
truck, 18, 37, 20, 0.32727272727272727, 
