Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 360,162,678,0.6896551724137931,
airplane, 13, 6, 56, 0.6842105263157895, 
bicycle, 32, 6, 37, 0.8421052631578947, 
boat, 9, 7, 59, 0.5625, 
car, 16, 12, 47, 0.5714285714285714, 
chair, 30, 11, 34, 0.7317073170731707, 
dog, 25, 5, 45, 0.8333333333333334, 
keyboard, 7, 14, 54, 0.3333333333333333, 
oven, 31, 9, 35, 0.775, 
bear, 7, 18, 50, 0.28, 
bird, 13, 9, 53, 0.5909090909090909, 
bottle, 25, 12, 38, 0.6756756756756757, 
cat, 26, 10, 39, 0.7222222222222222, 
clock, 59, 4, 12, 0.9365079365079365, 
elephant, 14, 14, 47, 0.5, 
knife, 10, 10, 55, 0.5, 
truck, 43, 15, 17, 0.7413793103448276, 
