Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 201,508,491,0.2834978843441467,
airplane, 5, 33, 37, 0.13157894736842105, 
bicycle, 3, 27, 45, 0.1, 
boat, 0, 33, 42, 0.0, 
car, 29, 26, 20, 0.5272727272727272, 
chair, 10, 32, 33, 0.23809523809523808, 
dog, 7, 31, 37, 0.18421052631578946, 
keyboard, 9, 39, 27, 0.1875, 
oven, 6, 33, 36, 0.15384615384615385, 
bear, 3, 36, 36, 0.07692307692307693, 
bird, 0, 37, 38, 0.0, 
bottle, 36, 30, 9, 0.5454545454545454, 
cat, 11, 32, 32, 0.2558139534883721, 
clock, 53, 10, 12, 0.8412698412698413, 
elephant, 4, 38, 33, 0.09523809523809523, 
knife, 1, 40, 34, 0.024390243902439025, 
truck, 24, 31, 20, 0.43636363636363634, 
