Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 314,168,718,0.6514522821576764,
airplane, 4, 9, 62, 0.3076923076923077, 
bicycle, 31, 11, 33, 0.7380952380952381, 
boat, 6, 9, 60, 0.4, 
car, 12, 13, 50, 0.48, 
chair, 18, 12, 45, 0.6, 
dog, 24, 7, 44, 0.7741935483870968, 
keyboard, 7, 13, 55, 0.35, 
oven, 27, 9, 39, 0.75, 
bear, 3, 14, 58, 0.17647058823529413, 
bird, 16, 12, 47, 0.5714285714285714, 
bottle, 34, 9, 32, 0.7906976744186046, 
cat, 26, 9, 40, 0.7428571428571429, 
clock, 60, 3, 12, 0.9523809523809523, 
elephant, 7, 9, 59, 0.4375, 
knife, 12, 16, 47, 0.42857142857142855, 
truck, 27, 13, 35, 0.675, 
