Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 182,563,455,0.2442953020134228,
airplane, 11, 35, 29, 0.2391304347826087, 
bicycle, 11, 30, 34, 0.2682926829268293, 
boat, 3, 32, 40, 0.08571428571428572, 
car, 14, 36, 25, 0.28, 
chair, 12, 38, 25, 0.24, 
dog, 7, 35, 33, 0.16666666666666666, 
keyboard, 18, 32, 25, 0.36, 
oven, 7, 41, 27, 0.14583333333333334, 
bear, 1, 45, 29, 0.021739130434782608, 
bird, 1, 42, 32, 0.023255813953488372, 
bottle, 22, 31, 22, 0.41509433962264153, 
cat, 11, 35, 29, 0.2391304347826087, 
clock, 34, 19, 22, 0.6415094339622641, 
elephant, 5, 34, 36, 0.1282051282051282, 
knife, 2, 41, 32, 0.046511627906976744, 
truck, 23, 37, 15, 0.38333333333333336, 
