Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 188,578,434,0.2454308093994778,
airplane, 4, 37, 34, 0.0975609756097561, 
bicycle, 7, 36, 32, 0.16279069767441862, 
boat, 3, 33, 39, 0.08333333333333333, 
car, 22, 32, 21, 0.4074074074074074, 
chair, 5, 40, 30, 0.1111111111111111, 
dog, 11, 34, 30, 0.24444444444444444, 
keyboard, 8, 42, 25, 0.16, 
oven, 17, 26, 32, 0.3953488372093023, 
bear, 2, 48, 25, 0.04, 
bird, 3, 45, 27, 0.0625, 
bottle, 31, 30, 14, 0.5081967213114754, 
cat, 9, 32, 34, 0.21951219512195122, 
clock, 34, 24, 17, 0.5862068965517241, 
elephant, 1, 40, 34, 0.024390243902439025, 
knife, 6, 42, 27, 0.125, 
truck, 25, 37, 13, 0.4032258064516129, 
