Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias, Total, 222, 522, 456, 0.29838709677419356, 
airplane, 5, 32, 38, 0.13513513513513514, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 24, 27, 24, 0.47058823529411764, 
chair, 12, 30, 33, 0.2857142857142857, 
dog, 10, 31, 34, 0.24390243902439024, 
keyboard, 14, 38, 23, 0.2692307692307692, 
oven, 8, 28, 39, 0.2222222222222222, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 5, 42, 28, 0.10638297872340426, 
bottle, 30, 27, 18, 0.5263157894736842, 
cat, 8, 40, 27, 0.16666666666666666, 
clock, 50, 9, 16, 0.847457627118644, 
elephant, 6, 37, 32, 0.13953488372093023, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 27, 33, 15, 0.45, 
Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 222, 522, 456, 0.29838709677419356, 
airplane, 5, 32, 38, 0.13513513513513514, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 24, 27, 24, 0.47058823529411764, 
chair, 12, 30, 33, 0.2857142857142857, 
dog, 10, 31, 34, 0.24390243902439024, 
keyboard, 14, 38, 23, 0.2692307692307692, 
oven, 8, 28, 39, 0.2222222222222222, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 5, 42, 28, 0.10638297872340426, 
bottle, 30, 27, 18, 0.5263157894736842, 
cat, 8, 40, 27, 0.16666666666666666, 
clock, 50, 9, 16, 0.847457627118644, 
elephant, 6, 37, 32, 0.13953488372093023, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 27, 33, 15, 0.45, 
Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 222, 522, 456, 0.29838709677419356, 
airplane, 5, 32, 38, 0.13513513513513514, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 24, 27, 24, 0.47058823529411764, 
chair, 12, 30, 33, 0.2857142857142857, 
dog, 10, 31, 34, 0.24390243902439024, 
keyboard, 14, 38, 23, 0.2692307692307692, 
oven, 8, 28, 39, 0.2222222222222222, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 5, 42, 28, 0.10638297872340426, 
bottle, 30, 27, 18, 0.5263157894736842, 
cat, 8, 40, 27, 0.16666666666666666, 
clock, 50, 9, 16, 0.847457627118644, 
elephant, 6, 37, 32, 0.13953488372093023, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 27, 33, 15, 0.45, 
Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 222, 522, 456, 0.29838709677419356, 
airplane, 5, 32, 38, 0.13513513513513514, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 24, 27, 24, 0.47058823529411764, 
chair, 12, 30, 33, 0.2857142857142857, 
dog, 10, 31, 34, 0.24390243902439024, 
keyboard, 14, 38, 23, 0.2692307692307692, 
oven, 8, 28, 39, 0.2222222222222222, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 5, 42, 28, 0.10638297872340426, 
bottle, 30, 27, 18, 0.5263157894736842, 
cat, 8, 40, 27, 0.16666666666666666, 
clock, 50, 9, 16, 0.847457627118644, 
elephant, 6, 37, 32, 0.13953488372093023, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 27, 33, 15, 0.45, 
Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias,
Total, 222, 522, 456, 0.29838709677419356, 
airplane, 5, 32, 38, 0.13513513513513514, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 24, 27, 24, 0.47058823529411764, 
chair, 12, 30, 33, 0.2857142857142857, 
dog, 10, 31, 34, 0.24390243902439024, 
keyboard, 14, 38, 23, 0.2692307692307692, 
oven, 8, 28, 39, 0.2222222222222222, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 5, 42, 28, 0.10638297872340426, 
bottle, 30, 27, 18, 0.5263157894736842, 
cat, 8, 40, 27, 0.16666666666666666, 
clock, 50, 9, 16, 0.847457627118644, 
elephant, 6, 37, 32, 0.13953488372093023, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 27, 33, 15, 0.45, 
