Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 215,536,449,0.2862849533954727,
airplane, 3, 35, 37, 0.07894736842105263, 
bicycle, 16, 27, 32, 0.37209302325581395, 
boat, 3, 40, 32, 0.06976744186046512, 
car, 25, 24, 26, 0.5102040816326531, 
chair, 8, 35, 32, 0.18604651162790697, 
dog, 10, 35, 30, 0.2222222222222222, 
keyboard, 15, 43, 17, 0.25862068965517243, 
oven, 11, 29, 35, 0.275, 
bear, 4, 40, 31, 0.09090909090909091, 
bird, 4, 41, 30, 0.08888888888888889, 
bottle, 35, 26, 14, 0.5737704918032787, 
cat, 9, 35, 31, 0.20454545454545456, 
clock, 44, 15, 16, 0.7457627118644068, 
elephant, 3, 35, 37, 0.07894736842105263, 
knife, 2, 40, 33, 0.047619047619047616, 
truck, 23, 36, 16, 0.3898305084745763, 
