Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 175,669,356,0.20734597156398105,
airplane, 4, 39, 32, 0.09302325581395349, 
bicycle, 7, 37, 31, 0.1590909090909091, 
boat, 2, 41, 32, 0.046511627906976744, 
car, 24, 35, 16, 0.4067796610169492, 
chair, 5, 42, 28, 0.10638297872340426, 
dog, 7, 38, 30, 0.15555555555555556, 
keyboard, 6, 53, 16, 0.1016949152542373, 
oven, 7, 41, 27, 0.14583333333333334, 
bear, 7, 50, 18, 0.12280701754385964, 
bird, 2, 46, 27, 0.041666666666666664, 
bottle, 27, 35, 13, 0.43548387096774194, 
cat, 7, 50, 18, 0.12280701754385964, 
clock, 44, 19, 12, 0.6984126984126984, 
elephant, 4, 48, 23, 0.07692307692307693, 
knife, 2, 50, 23, 0.038461538461538464, 
truck, 20, 45, 10, 0.3076923076923077, 
