Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 191,458,551,0.2942989214175655,
airplane, 2, 28, 45, 0.06666666666666667, 
bicycle, 22, 14, 39, 0.6111111111111112, 
boat, 3, 31, 41, 0.08823529411764706, 
car, 23, 26, 26, 0.46938775510204084, 
chair, 12, 30, 33, 0.2857142857142857, 
dog, 8, 27, 40, 0.22857142857142856, 
keyboard, 6, 39, 30, 0.13333333333333333, 
oven, 7, 30, 38, 0.1891891891891892, 
bear, 2, 36, 37, 0.05263157894736842, 
bird, 1, 31, 43, 0.03125, 
bottle, 29, 24, 22, 0.5471698113207547, 
cat, 9, 32, 34, 0.21951219512195122, 
clock, 48, 11, 16, 0.8135593220338984, 
elephant, 5, 26, 44, 0.16129032258064516, 
knife, 3, 38, 34, 0.07317073170731707, 
truck, 11, 35, 29, 0.2391304347826087, 
