Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias, Total, 214, 534, 452, 0.28609625668449196, 
airplane, 3, 32, 40, 0.08571428571428572, 
bicycle, 21, 24, 30, 0.4666666666666667, 
boat, 2, 39, 34, 0.04878048780487805, 
car, 22, 27, 26, 0.4489795918367347, 
chair, 9, 31, 35, 0.225, 
dog, 6, 38, 31, 0.13636363636363635, 
keyboard, 9, 43, 23, 0.17307692307692307, 
oven, 13, 27, 35, 0.325, 
bear, 6, 41, 28, 0.1276595744680851, 
bird, 2, 39, 34, 0.04878048780487805, 
bottle, 36, 25, 14, 0.5901639344262295, 
cat, 13, 35, 27, 0.2708333333333333, 
clock, 41, 18, 16, 0.6949152542372882, 
elephant, 6, 41, 28, 0.1276595744680851, 
knife, 5, 39, 31, 0.11363636363636363, 
truck, 20, 35, 20, 0.36363636363636365, 
Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias, Total, 194, 579, 427, 0.25097024579560157, 
airplane, 1, 39, 35, 0.025, 
bicycle, 9, 34, 32, 0.20930232558139536, 
boat, 6, 38, 31, 0.13636363636363635, 
car, 26, 28, 21, 0.48148148148148145, 
chair, 11, 38, 26, 0.22448979591836735, 
dog, 7, 37, 31, 0.1590909090909091, 
keyboard, 9, 43, 23, 0.17307692307692307, 
oven, 11, 27, 37, 0.2894736842105263, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 3, 42, 30, 0.06666666666666667, 
bottle, 23, 33, 19, 0.4107142857142857, 
cat, 9, 39, 27, 0.1875, 
clock, 33, 22, 20, 0.6, 
elephant, 7, 43, 25, 0.14, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 32, 30, 13, 0.5161290322580645, 
Category, Shape_Choices, Texture_Choices, Other_Choices, Shape_Bias, Total, 194, 579, 427, 0.25097024579560157, 
airplane, 1, 39, 35, 0.025, 
bicycle, 9, 34, 32, 0.20930232558139536, 
boat, 6, 38, 31, 0.13636363636363635, 
car, 26, 28, 21, 0.48148148148148145, 
chair, 11, 38, 26, 0.22448979591836735, 
dog, 7, 37, 31, 0.1590909090909091, 
keyboard, 9, 43, 23, 0.17307692307692307, 
oven, 11, 27, 37, 0.2894736842105263, 
bear, 4, 45, 26, 0.08163265306122448, 
bird, 3, 42, 30, 0.06666666666666667, 
bottle, 23, 33, 19, 0.4107142857142857, 
cat, 9, 39, 27, 0.1875, 
clock, 33, 22, 20, 0.6, 
elephant, 7, 43, 25, 0.14, 
knife, 3, 41, 31, 0.06818181818181818, 
truck, 32, 30, 13, 0.5161290322580645, 
