Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 223,413,564,0.35062893081761004,
airplane, 4, 35, 36, 0.10256410256410256, 
bicycle, 10, 18, 47, 0.35714285714285715, 
boat, 3, 31, 41, 0.08823529411764706, 
car, 23, 23, 29, 0.5, 
chair, 5, 28, 42, 0.15151515151515152, 
dog, 7, 21, 47, 0.25, 
keyboard, 9, 38, 28, 0.19148936170212766, 
oven, 22, 21, 32, 0.5116279069767442, 
bear, 4, 31, 40, 0.11428571428571428, 
bird, 4, 26, 45, 0.13333333333333333, 
bottle, 42, 21, 12, 0.6666666666666666, 
cat, 11, 29, 35, 0.275, 
clock, 49, 6, 20, 0.8909090909090909, 
elephant, 6, 23, 46, 0.20689655172413793, 
knife, 0, 32, 43, 0.0, 
truck, 24, 30, 21, 0.4444444444444444, 
