Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 275,362,563,0.4317111459968603,
airplane, 3, 28, 44, 0.0967741935483871, 
bicycle, 24, 17, 34, 0.5853658536585366, 
boat, 5, 34, 36, 0.1282051282051282, 
car, 29, 20, 26, 0.5918367346938775, 
chair, 11, 21, 43, 0.34375, 
dog, 7, 23, 45, 0.23333333333333334, 
keyboard, 6, 36, 33, 0.14285714285714285, 
oven, 24, 14, 37, 0.631578947368421, 
bear, 5, 30, 40, 0.14285714285714285, 
bird, 8, 23, 44, 0.25806451612903225, 
bottle, 47, 13, 15, 0.7833333333333333, 
cat, 18, 21, 36, 0.46153846153846156, 
clock, 51, 9, 15, 0.85, 
elephant, 9, 18, 48, 0.3333333333333333, 
knife, 1, 29, 45, 0.03333333333333333, 
truck, 27, 26, 22, 0.5094339622641509, 
