Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 215,520,465,0.2925170068027211,
airplane, 2, 38, 35, 0.05, 
bicycle, 15, 27, 33, 0.35714285714285715, 
boat, 4, 34, 37, 0.10526315789473684, 
car, 20, 31, 24, 0.39215686274509803, 
chair, 11, 34, 30, 0.24444444444444444, 
dog, 9, 32, 34, 0.21951219512195122, 
keyboard, 8, 43, 24, 0.1568627450980392, 
oven, 9, 33, 33, 0.21428571428571427, 
bear, 4, 37, 34, 0.0975609756097561, 
bird, 2, 39, 34, 0.04878048780487805, 
bottle, 37, 27, 11, 0.578125, 
cat, 11, 31, 33, 0.2619047619047619, 
clock, 52, 10, 13, 0.8387096774193549, 
elephant, 3, 39, 33, 0.07142857142857142, 
knife, 3, 33, 39, 0.08333333333333333, 
truck, 25, 32, 18, 0.43859649122807015, 
