Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 215,487,498,0.30626780626780625,
airplane, 4, 33, 38, 0.10810810810810811, 
bicycle, 16, 30, 29, 0.34782608695652173, 
boat, 2, 31, 42, 0.06060606060606061, 
car, 35, 24, 16, 0.5932203389830508, 
chair, 9, 33, 33, 0.21428571428571427, 
dog, 10, 25, 40, 0.2857142857142857, 
keyboard, 4, 40, 31, 0.09090909090909091, 
oven, 9, 31, 35, 0.225, 
bear, 6, 35, 34, 0.14634146341463414, 
bird, 9, 34, 32, 0.20930232558139536, 
bottle, 28, 23, 24, 0.5490196078431373, 
cat, 13, 33, 29, 0.2826086956521739, 
clock, 32, 16, 27, 0.6666666666666666, 
elephant, 7, 30, 38, 0.1891891891891892, 
knife, 4, 35, 36, 0.10256410256410256, 
truck, 27, 34, 14, 0.4426229508196721, 
