Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 184,593,423,0.23680823680823682,
airplane, 7, 38, 30, 0.15555555555555556, 
bicycle, 9, 29, 37, 0.23684210526315788, 
boat, 5, 41, 29, 0.10869565217391304, 
car, 26, 29, 20, 0.4727272727272727, 
chair, 6, 42, 27, 0.125, 
dog, 7, 34, 34, 0.17073170731707318, 
keyboard, 2, 49, 24, 0.0392156862745098, 
oven, 7, 37, 31, 0.1590909090909091, 
bear, 6, 39, 30, 0.13333333333333333, 
bird, 1, 42, 32, 0.023255813953488372, 
bottle, 27, 29, 19, 0.48214285714285715, 
cat, 7, 45, 23, 0.1346153846153846, 
clock, 42, 15, 18, 0.7368421052631579, 
elephant, 5, 38, 32, 0.11627906976744186, 
knife, 2, 48, 25, 0.04, 
truck, 25, 38, 12, 0.3968253968253968, 
