Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 218,482,500,0.31142857142857144,
airplane, 4, 30, 41, 0.11764705882352941, 
bicycle, 11, 30, 34, 0.2682926829268293, 
boat, 4, 35, 36, 0.10256410256410256, 
car, 31, 23, 21, 0.5740740740740741, 
chair, 7, 31, 37, 0.18421052631578946, 
dog, 6, 31, 38, 0.16216216216216217, 
keyboard, 6, 39, 30, 0.13333333333333333, 
oven, 13, 28, 34, 0.3170731707317073, 
bear, 5, 28, 42, 0.15151515151515152, 
bird, 5, 31, 39, 0.1388888888888889, 
bottle, 46, 19, 10, 0.7076923076923077, 
cat, 12, 32, 31, 0.2727272727272727, 
clock, 42, 8, 25, 0.84, 
elephant, 3, 40, 32, 0.06976744186046512, 
knife, 1, 41, 33, 0.023809523809523808, 
truck, 22, 36, 17, 0.3793103448275862, 
