Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 181,586,433,0.23598435462842243,
airplane, 3, 33, 39, 0.08333333333333333, 
bicycle, 6, 31, 38, 0.16216216216216217, 
boat, 6, 42, 27, 0.125, 
car, 22, 28, 25, 0.44, 
chair, 13, 32, 30, 0.28888888888888886, 
dog, 6, 38, 31, 0.13636363636363635, 
keyboard, 10, 42, 23, 0.19230769230769232, 
oven, 8, 34, 33, 0.19047619047619047, 
bear, 4, 46, 25, 0.08, 
bird, 4, 49, 22, 0.07547169811320754, 
bottle, 17, 33, 25, 0.34, 
cat, 12, 41, 22, 0.22641509433962265, 
clock, 42, 17, 16, 0.711864406779661, 
elephant, 6, 37, 32, 0.13953488372093023, 
knife, 1, 45, 29, 0.021739130434782608, 
truck, 21, 38, 16, 0.3559322033898305, 
