Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 206,531,463,0.27951153324287653,
airplane, 7, 38, 30, 0.15555555555555556, 
bicycle, 12, 27, 36, 0.3076923076923077, 
boat, 4, 33, 38, 0.10810810810810811, 
car, 19, 32, 24, 0.37254901960784315, 
chair, 8, 37, 30, 0.17777777777777778, 
dog, 8, 39, 28, 0.1702127659574468, 
keyboard, 11, 36, 28, 0.23404255319148937, 
oven, 5, 31, 39, 0.1388888888888889, 
bear, 6, 36, 33, 0.14285714285714285, 
bird, 1, 40, 34, 0.024390243902439025, 
bottle, 35, 28, 12, 0.5555555555555556, 
cat, 11, 36, 28, 0.23404255319148937, 
clock, 41, 17, 17, 0.7068965517241379, 
elephant, 7, 36, 32, 0.16279069767441862, 
knife, 0, 39, 36, 0.0, 
truck, 31, 26, 18, 0.543859649122807, 
