Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 206,522,472,0.28296703296703296,
airplane, 6, 42, 27, 0.125, 
bicycle, 26, 22, 27, 0.5416666666666666, 
boat, 12, 29, 34, 0.2926829268292683, 
car, 11, 33, 31, 0.25, 
chair, 4, 32, 39, 0.1111111111111111, 
dog, 5, 35, 35, 0.125, 
keyboard, 10, 38, 27, 0.20833333333333334, 
oven, 20, 24, 31, 0.45454545454545453, 
bear, 5, 40, 30, 0.1111111111111111, 
bird, 3, 40, 32, 0.06976744186046512, 
bottle, 27, 30, 18, 0.47368421052631576, 
cat, 8, 40, 27, 0.16666666666666666, 
clock, 47, 7, 21, 0.8703703703703703, 
elephant, 5, 36, 34, 0.12195121951219512, 
knife, 4, 37, 34, 0.0975609756097561, 
truck, 13, 37, 25, 0.26, 
