Category,Shape_Choices,Texture_Choices,Other_Choices,Shape_Bias,
Total, 333,156,711,0.6809815950920245,
airplane, 5, 11, 59, 0.3125, 
bicycle, 34, 7, 34, 0.8292682926829268, 
boat, 9, 6, 60, 0.6, 
car, 4, 20, 51, 0.16666666666666666, 
chair, 30, 11, 34, 0.7317073170731707, 
dog, 33, 4, 38, 0.8918918918918919, 
keyboard, 9, 12, 54, 0.42857142857142855, 
oven, 30, 3, 42, 0.9090909090909091, 
bear, 2, 12, 61, 0.14285714285714285, 
bird, 13, 13, 49, 0.5, 
bottle, 25, 11, 39, 0.6944444444444444, 
cat, 22, 5, 48, 0.8148148148148148, 
clock, 53, 3, 19, 0.9464285714285714, 
elephant, 13, 15, 47, 0.4642857142857143, 
knife, 10, 14, 51, 0.4166666666666667, 
truck, 41, 9, 25, 0.82, 
